seed_id,ref_number,citation,title,year,first_author,DOI,PMID,expected_module,retrieved_by_core,retrieved_by_module,retrieved_database,recall_status,failure_reason
S011,[18],"Ahmed, W., Bivins, A., Metcalfe, S., Smith, W. J. M., Verbyla, M. E., Symonds, E. M., & Simpson, S. L. (2022). Evaluation of process limit of detection and quantification...",Evaluation of process limit of detection and quantification variation of SARS-CoV-2 RT-qPCR and RT-dPCR assays for wastewater surveillance,2022,Ahmed,10.1016/j.watres.2022.118132,35152136,module04,,,,NOT_TESTED,
S012,[19],"Cha, G.-S., Graham, K. E., Zhu, K. J., Rao, G., Lindner, B. G., Kocaman, K., Woo, S., D'Amico, I., Bingham, L. R., Fischer, J. M., Flores, C. I., Spencer, J. W., Yathiraj, P.,...",Parallel deployment of passive and composite samplers for surveillance and variant profiling of SARS-CoV-2 in sewage,2023,Cha,,,module04,,,,NOT_TESTED,
S013,[20],"Kim, S., Kennedy, L. C., Wolfe, M. K., Criddle, C. S., Duong, D. H., Topol, A., White, B. J., et al. [full author list truncated — large multi-author study]. (2022). SARS-CoV-2...",SARS-CoV-2 RNA is enriched by orders of magnitude in primary settled solids relative to liquid wastewater at publicly owned treatment works,2022,Kim,10.1039/D1EW00826A,,module04,,,,NOT_TESTED,
S014,[21],"Williams, R. C., Perry, W. B., Lambert-Slosarska, K., Futcher, B., Pellett, C., Richardson-O'Neill, I., Paterson, S., Grimsley, J. M. S., Wade, M. J., Weightman, A. J., Farkas,...","Examining the stability of viral RNA and DNA in wastewater: Effects of storage time, temperature, and freeze-thaw cycles",2024,Williams,10.1016/j.watres.2024.121879,,module04,,,,NOT_TESTED,
S015,[22],"Zafeiriadou, A., Nano, K., Thomaidis, N. S., & Markou, A. (2024). Evaluation of PCR-enhancing approaches to reduce inhibition in wastewater samples and enhance viral load...",Evaluation of PCR-enhancing approaches to reduce inhibition in wastewater samples and enhance viral load measurements,2024,Zafeiriadou,10.1016/j.scitotenv.2024.176768,39393702,module04,,,,NOT_TESTED,
S016,[23],"Elbait, G. D., Daou, M., Abuoudah, M., Elmekawy, A., Hasan, S. W., Everett, D. B., et al. [full author list truncated in search results]. (2024). Comparison of qPCR and...",Comparison of qPCR and metagenomic sequencing methods for quantifying antibiotic resistance genes in wastewater,2024,Elbait,10.1371/journal.pone.0298325,,module04,,,,NOT_TESTED,
S017,[24],"Pecson, B. M., Darby, E., Haas, C. N., Amha, Y. M., Bartolo, M., Danielson, R., Dearborn, Y., Di Giovanni, G., Ferguson, C., Fevig, S., Gaddis, E., Gray, D., Lukasik, G., Mull,...",Reproducibility and sensitivity of 36 methods to quantify the SARS-CoV-2 genetic signal in raw wastewater: Findings from an interlaboratory methods evaluation in the U.S,2021,Pecson,10.1039/D0EW00946F,,module04,,,,NOT_TESTED,
S018,[25],"Chen, C., Wang, Y., Kaur, G., Adiga, A., Espinoza, B., Venkatramanan, S., Warren, A., Lewis, B., Crow, J., Singh, R., Lorentz, A., Toney, D., & Marathe, M. (2024)....",Wastewater-based epidemiology for COVID-19 surveillance and beyond: A survey [Preprint]. *arXiv*:2403.15291. https://arxiv.org/abs/2403.15291,2024,Chen,,,core,,,,NOT_TESTED,
S019,[26],"Langeveld, J., Schilperoort, R., Heijnen, L., Elsinga, G., Schapendonk, C. E. M., Fanoy, E., de Schepper, E. I. T., Koopmans, M. P. G., de Graaf, M., & Medema, G. (2022)....","Normalisation of SARS-CoV-2 concentrations in wastewater: The use of flow, electrical conductivity and crAssphage",2022,Langeveld,,,module05,,,,NOT_TESTED,
S020,[27],"Hsu, S. Y., Bayati, M., Li, C., Hsieh, H. Y., Belenchia, A., Klutts, J., Zemmer, S. A., Reynolds, M., Semkiw, E., Johnson, H. Y., Foley, T., Wieberg, C. G., Wenzel, J., Johnson,...",Biomarkers selection for population normalization in SARS-CoV-2 wastewater-based epidemiology,2022,Hsu,,35313587,module05,,,,NOT_TESTED,
S021,[28],"Maal-Bared, R., Qiu, Y., Li, Q., Gao, T., Hrudey, S. E., Bhavanam, S., Ruecker, N. J., Ellehoj, E., Lee, B. E., & Pang, X. (2023). Does normalization of SARS-CoV-2 concentrations...",Does normalization of SARS-CoV-2 concentrations by Pepper Mild Mottle Virus improve correlations and lead time between wastewater surveillance and clinical data in Alberta (Canada): Comparing twelve SARS-CoV-2 normalization approaches,2023,Maal-Bared,,,module05,,,,NOT_TESTED,
S022,[29],"Dhiyebi, H. A., Abu Farah, J., Ikert, H., Srikanthan, N., Hayat, S., Bragg, L. M., Qasim, A., Payne, M., Kaleis, L., Paget, C., Celmer-Repin, D., Folkema, A., Drew, S., Delatolla,...","Assessment of seasonality and normalization techniques for wastewater-based surveillance in Ontario, Canada",2023,Dhiyebi,10.3389/fpubh.2023.1186525,,module05,,,,NOT_TESTED,
S023,[30],"Chen, C., Kostakis, C., Gerber, J. P., Tscharke, B. J., Irvine, R. J., & White, J. M. (2014). Towards finding a population biomarker for wastewater epidemiology studies.",Towards finding a population biomarker for wastewater epidemiology studies,2014,Chen,10.1016/j.scitotenv.2013.11.075,,module05,,,,NOT_TESTED,
S024,[31],"Been, F., Rossi, L., Ort, C., Rudaz, S., Delémont, O., & Esseiva, P. (2014). Population normalization with ammonium in wastewater-based epidemiology: Application to illicit drug...",Population normalization with ammonium in wastewater-based epidemiology: Application to illicit drug monitoring,2014,Been,10.1021/es5008388,,module05,,,,NOT_TESTED,
S025,[32],"Baz-Lomba, J. A., Di Ruscio, F., Amador, A., Reid, M., & Thomas, K. V. (2019). Assessing alternative population size proxies in a wastewater catchment area using mobile device...",Assessing alternative population size proxies in a wastewater catchment area using mobile device data,2019,Baz-Lomba,10.1021/acs.est.8b05389,30645103,module05,,,,NOT_TESTED,
S026,[32b],"Thomas, K. V., et al. [full author list beyond lead author not independently confirmed this session]. (2017). Use of mobile device data to better estimate dynamic population size...",Use of mobile device data to better estimate dynamic population size for wastewater-based epidemiology,2017,Thomas,,,module05,,,,NOT_TESTED,
S027,[33],"Chettleburgh, C., Ma, S. X., Swinwood-Sky, M., McDougall, H., Kireina, D., Taggar, G., McBean, E., Parreira, V., Goodridge, L., & Habash, M. (2023). Evaluation of four...",Evaluation of four human-associated fecal biomarkers in wastewater in Southern Ontario,2023,Chettleburgh,,37660819,module05,,,,NOT_TESTED,
S028,[34],"Ahmed, T., Philo, S. E., Boehm, A. B., Halden, R. U., Bibby, K., & Delgado Vela, J. (2026). Assessing normalization methods in wastewater based epidemiology: A systematic review.",Assessing normalization methods in wastewater based epidemiology: A systematic review,2026,Ahmed,10.1039/D5EW01049G,,core,,,,NOT_TESTED,
S029,[35],"Huisman, J. S., Scire, J., Caduff, L., Fernandez-Cassi, X., Ganesanandamoorthy, P., Kull, A., Scheidegger, A., Stachler, E., Boehm, A. B., Hughes, B., Knudson, A., Topol, A.,...",Wastewater-based estimation of the effective reproductive number of SARS-CoV-2,2022,Huisman,,35617001,module07,,,,NOT_TESTED,
S030,[36],"Ramin, P., Valverde-Pérez, B., Polesel, F., Locatelli, L., & Plósz, B. Gy. (2017). A systematic model identification method for chemical transformation pathways – the case of...",A systematic model identification method for chemical transformation pathways – the case of heroin biomarkers in wastewater,2017,Ramin,10.1038/s41598-017-09313-y,,module06,,,,NOT_TESTED,
S031,[37],"Deva, A., Shingi, S., Tiwari, A., Bannur, N., Jain, S., White, J., Raval, A., & Merugu, S. (2021). Interpretability of epidemiological models: The curse of non-identifiability...",Interpretability of epidemiological models: The curse of non-identifiability [Preprint]. *arXiv*:2104.14821. https://arxiv.org/abs/2104.14821,2021,Deva,,,module08,,,,NOT_TESTED,
S032,[38],"Ai, Y., He, F., Lancaster, E., & Lee, J. (2022). Application of machine learning for multi-community COVID-19 outbreak predictions with wastewater surveillance.",Application of machine learning for multi-community COVID-19 outbreak predictions with wastewater surveillance,2022,Ai,,,module07,,,,NOT_TESTED,
S033,[39],"Liyanage, Y. R., Chowell, G., Pogudin, G., & Tuncer, N. (2025). Structural and practical identifiability of phenomenological growth models for epidemic forecasting.",Structural and practical identifiability of phenomenological growth models for epidemic forecasting,2025,Liyanage,10.3390/v17040496,,module08,,,,NOT_TESTED,
S034,[40],"Wang, L., Amarasiri, M., Oishi, W., & Sano, D. (2026). From wastewater to epidemiological insights: A systematic review of modeling strategies for infectious disease surveillance.",From wastewater to epidemiological insights: A systematic review of modeling strategies for infectious disease surveillance,2026,Wang,,,module07,,,,NOT_TESTED,
S035,[41],"Zuccato, E., Chiabrando, C., Castiglioni, S., Bagnati, R., & Fanelli, R. (2008). Estimating community drug abuse by wastewater analysis.",Estimating community drug abuse by wastewater analysis,2008,Zuccato,,,module06,,,,NOT_TESTED,
S036,[42],"McMahan, C. S., Self, S., Rennert, L., Kalbaugh, C., Kriebel, D., Graves, D., Colby, C., Deaver, J. A., Popat, S. C., Karanfil, T., & Freedman, D. L. (2021). COVID-19 wastewater...",COVID-19 wastewater epidemiology: A model to estimate infected populations,2021,McMahan,,,module07,,,,NOT_TESTED,
S037,[43],"Schoen, M. E., Wolfe, M. K., Li, X., Duong, D., White, B. J., Hughes, B., & Boehm, A. B. (2022). SARS-CoV-2 RNA wastewater settled solids surveillance frequency and impact on...",SARS-CoV-2 RNA wastewater settled solids surveillance frequency and impact on predicted COVID-19 incidence using a distributed lag model,2022,Schoen,,,module07,,,,NOT_TESTED,
S038,[44],"Dai, X., Acosta, N., Lu, X., Hubert, C. R. J., Lee, J., Frankowski, K., Bautista, M. A., Waddell, B. J., Du, K., McCalder, J., Meddings, J., Ruecker, N., Williamson, T., Southern,...",A Bayesian framework for modeling COVID-19 case numbers through longitudinal monitoring of SARS-CoV-2 RNA in wastewater,2024,Dai,10.1002/sim.10009,,module07,,,,NOT_TESTED,
S039,[45],"Alhassan, F., Karami, H., Bleichrodt, A., Hyman, J. M., Fung, I. C. H., Luo, R., & Chowell, G. (2025, arXiv preprint). COVID-19 forecasting from U.S. wastewater surveillance data:...",COVID-19 forecasting from U.S. wastewater surveillance data: A retrospective multi-model study (2022–2024). *arXiv*:2512.01074. https://arxiv.org/abs/2512.01074,2025,Alhassan,,,module07,,,,NOT_TESTED,
S040,[46],"Jones, H. E., Hickman, M., Kasprzyk-Hordern, B., Welton, N. J., Baker, D. R., & Ades, A. E. (2014). Illicit and pharmaceutical drug consumption estimated via wastewater analysis....",Illicit and pharmaceutical drug consumption estimated via wastewater analysis. Part B: Placing back-calculations in a formal statistical framework,2014,Jones,,,module06,,,,NOT_TESTED,
S041,[47],"Yang, Z., Jiao, S., Dong, Q., Li, X., Xu, Q., Liu, Y., Sun, W., & Huang, T. (2024). Evaluating approach uncertainties of quantitative detection of SARS-CoV-2 in wastewater: A...",Evaluating approach uncertainties of quantitative detection of SARS-CoV-2 in wastewater: A systematic review of the current state of knowledge,2024,Yang,,,module08,,,,NOT_TESTED,
S042,[48],"Safford, H. R., Zuniga-Montanez, R., Kim, D. W., Wu, X., Wei, X., Sharpnack, J., Shapiro, K., & Bischel, H. N. (2022). Statistical and computational methods for the analysis of...",Statistical and computational methods for the analysis of COVID-19 wastewater surveillance data: A comparative case study of censored-data methods,2022,Safford,10.1021/acsestwater.2c00053,,module08,,,,NOT_TESTED,
S043,[49],"Pei, W., Zhan, Q.-X., Yan, Z.-Y., Ge, L.-K., Zhang, P., Wang, Z., & Wang, D.-G. (2016). Using Monte Carlo simulation to assess uncertainty and variability of methamphetamine use...",Using Monte Carlo simulation to assess uncertainty and variability of methamphetamine use and prevalence from wastewater analysis,2016,Pei,,,module06,,,,NOT_TESTED,
S044,[50],"Croft, T. L., Huffines, R. A., Pathak, M., & Subedi, B. (2020). Prevalence of illicit and prescribed neuropsychiatric drugs in three communities in Kentucky using wastewater-based...",Prevalence of illicit and prescribed neuropsychiatric drugs in three communities in Kentucky using wastewater-based epidemiology and Monte Carlo simulation for the estimation of associated uncertainties,2020,Croft,,31622847,module06,,,,NOT_TESTED,
